"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-22","0.00","50","77","41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-23","0.00","50",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-24","0.00","51","61",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-25","0.00","49",,"39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-26","0.00","48","61","36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-27","0.00","49",,"38"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-28","0.00","48","61","39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-29","0.26","48","59","40"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-30","0.00","49",,"32"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-31","0.00","53",,"35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-01","0.00","51","71","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-02","0.00","52",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-03","0.00","52","65",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-04","0.00","49",,"35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-05","0.00","49","65","37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-06","0.00","49","64","35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-07","0.00","50",,"35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-08","0.00","48","66",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-09",,"49",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-10",,"48",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-11","0.17","43","54","33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-09-12","0.00","49",,"39"
